time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-04 08:00:00,Mace Head,8.7589,1,3,1,1,1,1,3.0
2020-01-04 08:30:00,Mace Head,8.7544,1,3,1,1,1,1,3.0
2020-01-04 09:00:00,Mace Head,8.7418,1,3,1,1,1,1,3.0
2020-01-04 09:30:00,Mace Head,8.7311,1,3,1,1,1,1,3.0
2020-01-04 10:00:00,Mace Head,8.7178,1,3,1,1,1,1,3.0
2020-01-04 10:30:00,Mace Head,8.7253,1,3,1,1,1,1,3.0
2020-01-04 11:00:00,Mace Head,8.7214,1,3,1,1,1,1,3.0
2020-01-04 11:30:00,Mace Head,8.7297,1,3,1,1,1,1,3.0
2020-01-04 12:00:00,Mace Head,8.7548,1,3,1,1,1,1,3.0
2020-01-04 12:30:00,Mace Head,8.8434,1,3,1,1,1,1,3.0
2020-01-04 13:00:00,Mace Head,8.8691,1,3,1,1,1,1,3.0
2020-01-04 13:30:00,Mace Head,8.8851,1,3,1,1,1,1,3.0
2020-01-04 14:00:00,Mace Head,8.8442,1,3,1,1,1,1,3.0
2020-01-04 14:30:00,Mace Head,8.8289,1,3,1,1,1,1,3.0
2020-01-04 15:00:00,Mace Head,8.8244,1,3,1,1,1,1,3.0
2020-01-04 15:30:00,Mace Head,8.8224,1,3,1,1,1,1,3.0
2020-01-04 16:00:00,Mace Head,8.8244,1,3,1,1,1,1,3.0
2020-01-04 16:30:00,Mace Head,8.8397,1,3,1,1,1,1,3.0
2020-01-04 17:00:00,Mace Head,8.8455,1,3,1,1,1,1,3.0
2020-01-04 17:30:00,Mace Head,8.8542,1,3,1,1,1,1,3.0
2020-01-04 18:00:00,Mace Head,8.8537,1,3,1,1,1,1,3.0
2020-01-04 18:30:00,Mace Head,8.8517,1,3,1,1,1,1,3.0
2020-01-04 19:00:00,Mace Head,8.8514,1,3,1,1,1,1,3.0
2020-01-04 19:30:00,Mace Head,8.8527,1,3,1,1,1,1,3.0
2020-01-04 20:00:00,Mace Head,8.8544,1,3,1,1,1,1,3.0
2020-01-04 20:30:00,Mace Head,8.8588,1,3,1,1,1,1,3.0
2020-01-04 21:00:00,Mace Head,8.8626,1,3,1,1,1,1,3.0
2020-01-04 21:30:00,Mace Head,8.867,1,3,1,1,1,1,3.0
2020-01-04 22:00:00,Mace Head,8.8759,1,3,1,1,1,1,3.0
2020-01-04 22:30:00,Mace Head,8.8647,1,3,1,1,1,1,3.0
2020-01-04 23:00:00,Mace Head,8.8653,1,3,1,1,1,1,3.0
2020-01-04 23:30:00,Mace Head,8.8834,1,3,1,1,1,1,3.0
2020-01-05 00:00:00,Mace Head,8.9237,1,3,1,1,1,1,3.0
2020-01-05 00:30:00,Mace Head,8.920299,1,3,1,1,1,1,3.0
2020-01-05 01:00:00,Mace Head,8.8984,1,3,1,1,1,1,3.0
2020-01-05 01:30:00,Mace Head,8.9155,1,3,1,1,1,1,3.0
2020-01-05 02:00:00,Mace Head,8.9254,1,3,1,1,1,1,3.0
2020-01-05 02:30:00,Mace Head,8.9397,1,3,1,1,1,1,3.0
2020-01-05 03:00:00,Mace Head,8.9857,1,3,1,1,1,1,3.0
2020-01-05 03:30:00,Mace Head,9.0361,1,3,1,1,1,1,3.0
2020-01-05 04:00:00,Mace Head,9.085,1,3,1,1,1,1,3.0
2020-01-05 04:30:00,Mace Head,9.0848,1,3,1,1,1,1,3.0
2020-01-05 05:00:00,Mace Head,9.0894,1,3,1,1,1,1,3.0
2020-01-05 05:30:00,Mace Head,9.096599,1,3,1,1,1,1,3.0
2020-01-05 06:00:00,Mace Head,9.100799,1,3,1,1,1,1,3.0
2020-01-05 06:30:00,Mace Head,9.1046,1,3,1,1,1,1,3.0
2020-01-05 07:00:00,Mace Head,9.1055,1,3,1,1,1,1,3.0
2020-01-05 07:30:00,Mace Head,9.1076,1,3,1,1,1,1,3.0
2020-01-05 08:00:00,Mace Head,9.010899,1,3,1,1,1,1,3.0
2020-01-05 08:30:00,Mace Head,8.9794,1,3,1,1,1,1,3.0
2020-01-05 09:00:00,Mace Head,8.9932,1,3,1,1,1,1,3.0
2020-01-05 09:30:00,Mace Head,9.121101,1,3,1,1,1,1,3.0
2020-01-05 10:00:00,Mace Head,9.1222,1,3,1,1,1,1,3.0
2020-01-05 10:30:00,Mace Head,9.0921,1,3,1,1,1,1,3.0
2020-01-05 11:00:00,Mace Head,9.1108,1,3,1,1,1,1,3.0
2020-01-05 11:30:00,Mace Head,9.124699,1,3,1,1,1,1,3.0
